SMILES,pred_IC50,P-gp_substrate,P-gp_I_inhibitor,P-gp_II_inhibitor,CYP2D6_substrate,CYP3A4_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,AMES_toxicity,hERG_II_inhibitor,Hepatotoxicity,Skin_Sensitisation
CCOc1ccc(CC(=O)O)cc1,193.7426834766322,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,43.6396073336432,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,33.304070751063406,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,46.881362202305894,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,68.26433364707188,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,175.26350445493622,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,92.27803136953906,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,190.39373249757764,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,75.59769004253796,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,190.3024700250684,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,75.55831997085016,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,116.66077905010826,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,74.30043925572912,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,29.184192544332785,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,128.92521045627194,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,183.78865116199486,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,58.08018579559699,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,51.79273161275991,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,86.8598478090035,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,173.72625075497123,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,10.328089271465577,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,35.44353950076578,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,112.04803193079282,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,129.53999327511042,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,173.90639386281632,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,70.25811665518978,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,182.35925424501613,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,109.88251136564463,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,197.94219551790457,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,186.05575635483612,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,21.95050734131533,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,159.54250369411793,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,74.23245461637669,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,24.47647970699569,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,168.757737761277,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,121.74610591304268,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,149.3344594691804,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,18.732013233994,0,0,0,0,0,0,0,0,0,0,0,0
